"filename", "language", "JavaScript JSX", "comment", "blank", "total"
"d:\react\mern\frontend\src\components\BackButton.jsx", "JavaScript JSX", 1, -1, -1, -1
"d:\react\mern\frontend\src\components\ShelfLocation.jsx", "JavaScript JSX", -3, 3, 0, 0
"d:\react\mern\frontend\src\pages\EditBooks.jsx", "JavaScript JSX", 36, -35, 0, 1
"d:\react\mern\frontend\src\pages\Home.jsx", "JavaScript JSX", 3, 0, 2, 5
"d:\react\mern\frontend\src\pages\SignInPage.jsx", "JavaScript JSX", -1, 0, 1, 0
"d:\react\mern\frontend\src\pages\SignUpPage.jsx", "JavaScript JSX", 28, 4, -1, 31
"d:\react\mern\frontend\src\pages\UserHistory.jsx", "JavaScript JSX", 6, 0, 2, 8
"d:\react\mern\frontend\src\pages\UserInfo.jsx", "JavaScript JSX", 104, 3, 4, 111
"d:\react\mern\frontend\src\pages\UserManagement.jsx", "JavaScript JSX", 3, 4, -1, 6
"Total", "-", 177, -22, 6, 161
